,se,g,l,a,p,d,v
0,3.7,1714000,place,VRDOR,AP,2018,6.7
0,1.25,1714000,place,VRDOR,AP,2017,2.5
0,1.581632653,1714000,place,VRDOR,AP,2016,4.3
0,1.173469388,1714000,place,VRDOR,AP,2015,2.1
0,0.943877551,1714000,place,VRDOR,AP,2014,1.6
0,0.357142857,1714000,place,VRDOR,AP,2013,0.4
0,1.25,1714000,place,VRDOR,AP,2012,2.4
0,1.12244898,1714000,place,VRDOR,AP,2011,1.7
0,,1714000,place,VRDOR,AP,2010,0.0
0,1.071428571,1714000,place,VRDOR,AP,2009,1.9
0,1.147959184,1714000,place,VRDOR,AP,2008,2.5
0,0.612244898,1714000,place,VRDOR,AP,2007,0.7
0,,1714000,place,VRDOR,AP,2006,0.0
0,1.198979592,1714000,place,VRDOR,AP,2005,2.1
0,1.224489796,1714000,place,VRDOR,AP,2004,1.7
0,0.56122449,1714000,place,VRDOR,AP,2003,0.8
0,,1714000,place,VRDOR,AP,2002,0.0
0,0.816326531,1714000,place,VRDOR,AP,2001,0.9
0,,1714000,place,VRDOR,AP,2000,0.0
0,4.1115130919,1714000,place,VRDOR,H,2020,30.7
0,2.9,1714000,place,VRDOR,H,2019,16.2
0,3.6,1714000,place,VRDOR,H,2018,17.4
0,1.556122449,1714000,place,VRDOR,H,2017,16.6
0,1.556122449,1714000,place,VRDOR,H,2016,16.5
0,1.096938776,1714000,place,VRDOR,H,2015,8.5
0,1.020408163,1714000,place,VRDOR,H,2014,7.0
0,1.12244898,1714000,place,VRDOR,H,2013,8.8
0,1.045918367,1714000,place,VRDOR,H,2012,7.6
0,0.663265306,1714000,place,VRDOR,H,2011,3.1
0,0.892857143,1714000,place,VRDOR,H,2010,5.6
0,0.969387755,1714000,place,VRDOR,H,2009,6.0
0,0.994897959,1714000,place,VRDOR,H,2008,6.7
0,1.020408163,1714000,place,VRDOR,H,2007,7.0
0,1.147959184,1714000,place,VRDOR,H,2006,8.9
0,1.045918367,1714000,place,VRDOR,H,2005,7.3
0,1.020408163,1714000,place,VRDOR,H,2004,5.9
0,0.841836735,1714000,place,VRDOR,H,2003,4.7
0,1.045918367,1714000,place,VRDOR,H,2002,6.7
0,1.096938776,1714000,place,VRDOR,H,2001,7.2
0,0.969387755,1714000,place,VRDOR,H,2000,6.5
0,0.2786305049,1714000,place,VRDOR,C,2020,0.5
0,,1714000,place,VRDOR,C,2019,0.2
0,,1714000,place,VRDOR,C,2018,0.5
0,2.0362906028,1714000,place,VRDOR,G,2020,23.9
0,,1714000,place,VRDOR,G,2019,12.7
0,,1714000,place,VRDOR,G,2018,13.0
0,2.8186975951,1714000,place,VRDOR,K,2020,49.1
0,,1714000,place,VRDOR,K,2019,32.4
0,,1714000,place,VRDOR,K,2018,34.7
0,4.3410467854,1714000,place,VRDOR,N,2020,113.4
0,,1714000,place,VRDOR,N,2019,86.1
0,,1714000,place,VRDOR,N,2018,73.3
0,3.957802628,1714000,place,VRDOR,S,2020,43.5
0,,1714000,place,VRDOR,S,2019,25.9
0,,1714000,place,VRDOR,S,2018,17.3
